domain,city,state_code,service,rent_month,status,registered_on,expires_on,auto_renew,ours,site_written,phone,tenant,hosting
houstonmotorcycleaccidentlawyerpros.com,Houston,TX,Motorcycle Accident Lawyer,3000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
fortworthgaragedoorrepairpros.com,Fort Worth,TX,Garage Door Repair,2500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
sandiegodogbitelawyerpros.com,San Diego,CA,Dog Bite Lawyer,2000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
virginiabeachcaraccidentlawyerpros.com,Virginia Beach,VA,Car Accident Lawyer,2000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
mckinneygaragedoorrepairpros.com,McKinney,TX,Garage Door Repair,1500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
modestoacrepairpros.com,Modesto,CA,Air Conditioner Repair,1500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
sacramentoacrepair.com,Sacramento,CA,Air Conditioner Repair,1500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
sanjoseemergencyplumberpros.com,San Jose,CA,Emergency Plumbing,1500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
tampacriminaldefenselawyerpros.com,Tampa,FL,Criminal Defense Lawyer,1500,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
allenacrepairpros.com,Allen,TX,Air Conditioner Repair,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
dallaswrongfuldeathlawyerpros.com,Dallas,TX,Wrongful Death Lawyer,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
denverfurnacerepairpros.com,Denver,CO,Furnace Repair,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
garagedoorrepairnapervillepros.com,Naperville,IL,Garage Door Repair,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
losangelesdogbitelawyerpros.com,Los Angeles,CA,Dog Bite Lawyer,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
orlandomovingcompanypros.com,Orlando,FL,Moving Services,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
sacramentodogbitelawyerpros.com,Sacramento,CA,Dog Bite Lawyer,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
tucsonemergencyplumberpros.com,Tucson,AZ,Emergency Plumbing,1250,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
arlingtonbathroomremodelingpros.com,Arlington,TX,Bathroom Remodeling,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
bocaratongaragedoorrepairpros.com,Boca Raton,FL,Garage Door Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
carrolltongaragedoorrepairexperts.com,Carrollton,TX,Garage Door Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
cincinnatipersonalinjurylawyerpros.com,Cincinnati,OH,Personal Injury Lawyer,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
coloradospringsfurnacerepair.com,Colorado Springs,CO,Furnace Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
denverdivorcelawyerpros.com,Denver,CO,Divorce Lawyer,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
friscogaragedoorrepairexperts.com,Frisco,TX,Garage Door Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
longbeachpersonalinjurylawyerpros.com,Long Beach,CA,Personal Injury Lawyer,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
modestocaraccidentlawyerpros.com,Modesto,CA,Car Accident Lawyer,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
modestopersonalinjurylawyerpros.com,Modesto,CA,Personal Injury Lawyer,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
overlandparkgaragedoorrepairpros.com,Overland Park,KS,Garage Door Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
tampatileroofrepair.com,Tampa,FL,Tile Roof Repair,1000,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
annarborgaragedoorrepairpros.com,Ann Arbor,MI,Garage Door Repair,800,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
charlotteguttercleaningpros.com,Charlotte,NC,Gutter Cleaning,800,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
kansascityemergencyplumber.com,Kansas City,MO,Emergency Plumbing,800,registered,2026-08-22,2027-08-22,yes,yes,yes,,,
lasvegasdogbitelawyerpros.com,Las Vegas,NV,Dog Bite Lawyer,800,registered,2026-08-22,2027-08-22,yes,yes,,,,
louisvillecaraccidentlawyerpros.com,Louisville,KY,Car Accident Lawyer,800,registered,2026-08-22,2027-08-22,yes,yes,,,,
oceansidepersonalinjurylawyerpros.com,Oceanside,CA,Personal Injury Lawyer,800,registered,2026-08-22,2027-08-22,yes,yes,,,,
