directory,competitors_listed_of_214,pct,domain_rating
factmags.com,169,79,73.0
expertise.com,160,75,88.0
dsnylu.com,160,75,47.0
yellowpages.com,149,70,90.0
dexknows.com,122,57,78.0
superpages.com,116,54,85.0
tntcode.com,113,53,59.0
yp.com,111,52,73.0
birdeye.com,104,49,86.0
sparltech.com,100,47,49.0
bbb.org,91,43,93.0
chamberofcommerce.com,91,43,84.0
citysquares.com,82,38,73.0
mmwatches.co.uk,80,37,50.0
sjmfoundation.com,79,37,48.0
prlog.ru,77,36,50.0
ezlocal.com,74,35,80.0
exlinko.net,72,34,50.0
golocal247.com,70,33,71.0
neustarlocaleze.biz,68,32,72.0
instantcheckmate.com,67,31,71.0
threebestrated.com,63,29,80.0
kompass.com,63,29,77.0
clicktoselldirectoy.com,63,29,52.0
faucre.com,60,28,51.0
bizhwy.com,59,28,70.0
mylocalservices.com,58,27,63.0
find-us-here.com,56,26,75.0
distanthorizon.com,56,26,54.0
fyple.com,55,26,62.0
homestead.com,54,25,91.0
freelistingusa.com,53,25,74.0
example3.com,53,25,75.0
eurekster.com,52,24,52.0
topratedlocal.com,50,23,82.0
local.com,50,23,76.0
allbiz.com,49,23,62.0
your-server.de,49,23,84.0
ewin.biz,48,22,48.0
hunter.io,48,22,82.0
porch.com,47,22,85.0
2findlocal.com,47,22,76.0
researchgiant.com,46,21,64.0
resellerratings.com,46,21,76.0
find-open.com,46,21,58.0
zlutag.com,45,21,61.0
gigbic.com,45,21,61.0
hotfrog.com,44,21,81.0
reviewsonmywebsite.com,44,21,66.0
iformative.com,44,21,62.0
hotfri.com,44,21,61.0
bippermedia.com,44,21,74.0
opoint.com,44,21,62.0
provenexpert.com,43,20,91.0
bestprosintown.com,43,20,76.0
homeadvisor.com,43,20,91.0
ylutag.com,43,20,61.0
aligow.com,43,20,61.0
zomatt.com,43,20,61.0
dotpim.com,43,20,61.0
yellowpagecity.com,43,20,56.0
avvo.com,43,20,89.0
typepad.com,42,20,91.0
superlawyers.com,42,20,88.0
iglobal.co,42,20,73.0
yelpad.com,42,20,61.0
gte.com,41,19,49.0
yellowbook.com,41,19,73.0
kudzu.com,41,19,73.0
bunity.com,40,19,70.0
yellii.com,40,19,61.0
attorneyhelp.org,40,19,64.0
growjo.com,40,19,65.0
agreatertown.com,39,18,59.0
businesslistus.com,39,18,55.0
cortera.com,39,18,54.0
zaubee.com,39,18,56.0
heavenarticle.com,39,18,61.0
folkd.com,38,18,73.0
us.com,38,18,92.0
crunchbase.com,38,18,91.0
toptohigh.com,38,18,57.0
bizidex.com,37,17,70.0
webscountry.com,37,17,59.0
justia.com,37,17,91.0
lawyer.com,37,17,71.0
lensa.com,37,17,71.0
mantaw.com,37,17,61.0
thisoldhouse.com,36,17,86.0
todayshomeowner.com,36,17,80.0
techdirectory.io,36,17,66.0
bizlistusa.com,36,17,56.0
socastsrm.com,36,17,55.0
mapquest.com,36,17,91.0
cience.com,36,17,74.0
brandfetch.com,36,17,73.0
elocal.com,35,16,74.0
webwiki.com,35,16,74.0
statesman.com,35,16,82.0
apsoz.com,35,16,62.0
hub.biz,35,16,72.0
topwebdirectoy.com,35,16,48.0
logicmelon.com,35,16,48.0
aol.com,34,16,91.0
contactout.com,34,16,74.0
digitaljournal.com,33,15,86.0
statvoo.com,33,15,52.0
lawinfo.com,33,15,73.0
articlement.com,33,15,59.0
getkoala.com,33,15,55.0
whatsyourhours.com,32,15,61.0
amazonaws.com,32,15,95.0
prweb.com,32,15,90.0
oyez.org,32,15,80.0
starcourts.com,32,15,54.0
wiza.co,32,15,70.0
thebuildermarket.com,31,14,45.0
us.org,31,14,87.0
enigma.com,31,14,63.0
rocketreach.co,31,14,75.0
ebusinesspages.com,30,14,74.0
trustanalytica.org,30,14,71.0
onecle.com,30,14,71.0
findlaw.com,30,14,90.0
drjack.world,29,14,47.0
lawyerlegion.com,29,14,58.0
nexioe.com,29,14,60.0
similarweb.com,29,14,89.0
dnb.com,28,13,90.0
smartguy.com,28,13,54.0
cloudfront.net,28,13,94.0
herokuapp.com,27,13,91.0
trueen.com,27,13,69.0
grokipedia.com,27,13,78.0
uslegal.com,27,13,75.0
peekyou.com,27,13,68.0
prnewswire.com,27,13,92.0
clodura.ai,27,13,62.0
cylex-usa.com,27,13,57.0
signalhire.com,27,13,72.0
crayon.co,27,13,74.0
bizvotes.com,26,12,54.0
yolasite.com,26,12,84.0
ontoplist.com,26,12,75.0
cornell.edu,26,12,92.0
hotonlinegaming.com,26,12,47.0
thenationaltriallawyers.org,26,12,76.0
gitnux.org,26,12,85.0
company.com,26,12,81.0
trustburn.com,26,12,73.0
bloomberry.com,26,12,60.0
financialcontent.com,25,12,82.0
starterstory.com,25,12,76.0
a-zbusinessfinder.com,25,12,73.0
loc8nearme.com,25,12,78.0
viesearch.com,25,12,73.0
fduty.com,25,12,61.0
sabns.com,25,12,61.0
yinson.com,25,12,54.0
ibegin.com,25,12,74.0
web.app,24,11,91.0
theorg.com,24,11,76.0
qdexx.com,24,11,58.0
aeroleads.com,24,11,72.0
prospect.io,24,11,66.0
datanyze.com,23,11,78.0
b2bco.com,23,11,67.0
localstar.org,23,11,61.0
legalclarity.org,23,11,76.0
mywot.com,23,11,77.0
trustanalytica.com,23,11,64.0
developmentmi.com,23,11,46.0
tupalo.co,23,11,70.0
tomba.io,23,11,65.0
printwhatyoulike.com,23,11,58.0
