our_site,city,state,vertical,target,kind,dr,competitors_using_it,found_on
denverfurnacerepairpros.com,Denver,CO,home,denverpost.com,city-name-in-domain,87.0,6,bellplumbing.com
dallaswindowreplacementexperts.com,Dallas,TX,home,dallasnews.com,city-name-in-domain,87.0,4,windowworlddfw.com
sandiegodogbitelawyerpros.com,San Diego,CA,legal,sandiegouniontribune.com,city-name-in-domain,86.0,10,caseygerry.com
sandiegoleakdetectionpros.com,San Diego,CA,home,sandiegouniontribune.com,city-name-in-domain,86.0,10,sandiego.gov
sandiegowrongfulterminationlaw.com,San Diego,CA,legal,sandiegouniontribune.com,city-name-in-domain,86.0,10,thegomezfirm.com
louisvillecaraccidentlawyerpros.com,Louisville,KY,legal,louisville.edu,city-name-in-domain,81.0,4,kytrial.com
sandiegodogbitelawyerpros.com,San Diego,CA,legal,sandiego.edu,city-name-in-domain,81.0,3,caseygerry.com
sandiegowrongfulterminationlaw.com,San Diego,CA,legal,sandiego.edu,city-name-in-domain,81.0,3,thegomezfirm.com
denverfurnacerepairpros.com,Denver,CO,home,denver7.com,city-name-in-domain,80.0,4,bellplumbing.com
lasvegasdogbitelawyerpros.com,Las Vegas,NV,legal,lasvegassun.com,city-name-in-domain,80.0,1,edbernstein.com
sandiegoleakdetectionpros.com,San Diego,CA,home,sandiegocounty.gov,gov,80.0,1,sandiego.gov
sandiegodogbitelawyerpros.com,San Diego,CA,legal,nbcsandiego.com,city-name-in-domain,79.0,3,caseygerry.com
tampafamilylawattorneypros.com,Tampa,FL,legal,tampabay28.com,city-name-in-domain,79.0,3,olderlundylaw.com
tampacriminaldefenselawyerpros.com,Tampa,FL,legal,tampabay28.com,city-name-in-domain,79.0,3,criminaldefenseattorneytampa.com
sandiegodogbitelawyerpros.com,San Diego,CA,legal,timesofsandiego.com,city-name-in-domain,78.0,5,caseygerry.com
sandiegoleakdetectionpros.com,San Diego,CA,home,timesofsandiego.com,city-name-in-domain,78.0,5,sandiego.gov
sandiegowrongfulterminationlaw.com,San Diego,CA,legal,timesofsandiego.com,city-name-in-domain,78.0,5,attorneys.superlawyers.com
coloradospringsmoldremediationexperts.com,Colorado Springs,CO,home,tampa.gov,gov,78.0,3,servpro.com
waterdamageaustinco.com,Austin,TX,home,tampa.gov,gov,78.0,3,servpro.com
sandiegodogbitelawyerpros.com,San Diego,CA,legal,sandiegomagazine.com,city-name-in-domain,76.0,4,mcclellanlaw.com
sandiegoleakdetectionpros.com,San Diego,CA,home,sandiegomagazine.com,city-name-in-domain,76.0,4,sandiego.gov
foundationrepairaustinco.com,Austin,TX,home,fox7austin.com,city-name-in-domain,76.0,1,welevelit.com
sanjoseduilawyerpros.com,San Jose,CA,legal,sanjosespotlight.com,city-name-in-domain,72.0,1,sjdefender.com
tampafamilylawattorneypros.com,Tampa,FL,legal,voyagetampa.com,city-name-in-domain,72.0,1,olderlundylaw.com
austinroofinspectionpros.com,Austin,TX,home,austinchamber.com,chamber,70.0,1,j-connroofing.com
tampafamilylawattorneypros.com,Tampa,FL,legal,tampamagazines.com,city-name-in-domain,64.0,4,harrishuntderr.com
kansascityemergencyplumber.com,Kansas City,MO,home,inkansascity.com,city-name-in-domain,63.0,1,kansascitymomcollective.com
coloradospringsfurnacerepair.com,Colorado Springs,CO,home,coloradospringschamberedc.com,chamber,62.0,1,thewirenut.com
sanjoseduilawyerpros.com,San Jose,CA,legal,sanjoseinside.com,city-name-in-domain,61.0,1,sjdefender.com
garagedoorrepairnapervillepros.com,Naperville,IL,home,naperville.net,city-name-in-domain,56.0,1,precisiongarage-door.com
bocaratongaragedoorrepairpros.com,Boca Raton,FL,home,bocaratonchamber.com,chamber,53.0,1,flgaragedoor.com
tampafamilylawattorneypros.com,Tampa,FL,legal,cftampabay.org,city-name-in-domain,53.0,1,olderlundylaw.com
tucsonemergencyplumberpros.com,Tucson,AZ,home,tucsonchamber.org,chamber,51.0,1,calsplumbing.com
mckinneygaragedoorrepairpros.com,McKinney,TX,home,mckinneychamber.com,chamber,50.0,2,mckinneydoors.com
atlantadogbitelawyerpros.com,Atlanta,GA,legal,greaterperimeterchamber.com,chamber,33.0,1,lawzagoria.com
