our_site,city,state,vertical,link_target,domain_rating,competitors_using_it,found_on_competitor,looks_local
arvadaemergencyplumber.com,Arvada,CO,home,livejournal.com,90.0,7,rotorooter.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,rochester.edu,89.0,1,blueskyplumbing.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,iicrc.org,83.0,1,rotorooter.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,ielts.org,83.0,1,masterdrains.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,dbpedia.org,79.0,2,rotorooter.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,worldmetrics.org,78.0,10,rotorooter.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,multihousingnews.com,77.0,1,blueskyplumbing.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,botanicgardens.org,75.0,1,blueskyplumbing.com,yes
arvadaemergencyplumber.com,Arvada,CO,home,hubspot.com,93.0,4,rotorooter.com,no
arvadaemergencyplumber.com,Arvada,CO,home,oracle.com,93.0,2,rotorooter.com,no
arvadaemergencyplumber.com,Arvada,CO,home,cnbc.com,92.0,6,rotorooter.com,no
arvadaemergencyplumber.com,Arvada,CO,home,chroniclejournal.com,72.0,12,rotorooter.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,autosafety.org,62.0,1,tobininjurylaw.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,gtla.org,51.0,1,thegeorgiadogbitelawyer.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,lawfirmessentials.com,70.0,1,thegeorgiadogbitelawyer.com,no
atlantadogbitelawyerpros.com,Atlanta,GA,legal,triallawyerscollege.org,48.0,1,lawzagoria.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,sitesnewses.com,33.0,3,tobininjurylaw.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,greaterperimeterchamber.com,33.0,1,lawzagoria.com,yes
atlantadogbitelawyerpros.com,Atlanta,GA,legal,partnerbase.com,44.0,5,tobininjurylaw.com,no
atlantadogbitelawyerpros.com,Atlanta,GA,legal,wfirm.com,44.0,1,tobininjurylaw.com,no
atlantadogbitelawyerpros.com,Atlanta,GA,legal,jewkesfirm.com,33.0,1,tobininjurylaw.com,no
atlantadogbitelawyerpros.com,Atlanta,GA,legal,kiuly.com,32.0,12,tobininjurylaw.com,no
arlingtonbathroomremodelingpros.com,Arlington,TX,home,mit.edu,92.0,2,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,prlog.org,83.0,7,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,timesunion.com,83.0,2,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,calgaryherald.com,81.0,1,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,citylifestyle.com,80.0,5,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,edmontonjournal.com,78.0,1,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,iapmo.org,77.0,2,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,10times.com,77.0,8,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,medium.com,94.0,11,fivestarbathsolutions.com,no
arlingtonbathroomremodelingpros.com,Arlington,TX,home,merlot.org,74.0,2,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,realtytimes.com,74.0,8,fivestarbathsolutions.com,yes
arlingtonbathroomremodelingpros.com,Arlington,TX,home,emagazines.com,74.0,1,fivestarbathsolutions.com,yes
appliancerepairtampaco.com,Tampa,FL,home,movabletype.org,77.0,1,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,nari.org,77.0,3,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,rrca.org,72.0,1,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,wingolog.org,71.0,1,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,angi.com,90.0,10,dichristopherappliance.com,no
appliancerepairtampaco.com,Tampa,FL,home,unity3d.com,90.0,1,dichristopherappliance.com,no
appliancerepairtampaco.com,Tampa,FL,home,cern.ch,87.0,1,dichristopherappliance.com,no
appliancerepairtampaco.com,Tampa,FL,home,fsb.org.uk,84.0,1,dichristopherappliance.com,no
appliancerepairtampaco.com,Tampa,FL,home,merchantcircle.com,84.0,9,dichristopherappliance.com,no
appliancerepairtampaco.com,Tampa,FL,home,awakin.org,61.0,1,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,sws.org,61.0,1,dichristopherappliance.com,yes
appliancerepairtampaco.com,Tampa,FL,home,myskillsmyfuture.org,60.0,12,dichristopherappliance.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,tracemyip.org,81.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,wi-fi.org,80.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,bangordailynews.com,80.0,2,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,architectmagazine.com,80.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,worldmetrics.org,78.0,10,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,eastbaytimes.com,78.0,2,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,pinterest.com,97.0,11,overheaddoor.com,no
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,10times.com,77.0,8,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,duluthnewstribune.com,76.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,rfidjournal.com,75.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,wmf.org,74.0,1,overheaddoor.com,yes
annarborgaragedoorrepairpros.com,Ann Arbor,MI,home,southbendtribune.com,74.0,2,overheaddoor.com,yes
allenacrepairpros.com,Allen,TX,home,dallasnews.com,87.0,4,bakerbrothersplumbing.com,yes
allenacrepairpros.com,Allen,TX,home,dmoz.org,84.0,10,bakerbrothersplumbing.com,yes
allenacrepairpros.com,Allen,TX,home,duckdns.org,80.0,5,bakerbrothersplumbing.com,yes
allenacrepairpros.com,Allen,TX,home,goo.gl,97.0,7,bakerbrothersplumbing.com,no
allenacrepairpros.com,Allen,TX,home,iapmo.org,77.0,2,bakerbrothersplumbing.com,yes
allenacrepairpros.com,Allen,TX,home,dallasarboretum.org,73.0,1,bakerbrothersplumbing.com,yes
allenacrepairpros.com,Allen,TX,home,gofundme.com,92.0,4,bakerbrothersplumbing.com,no
allenacrepairpros.com,Allen,TX,home,jimdo.com,92.0,6,bakerbrothersplumbing.com,no
allenacrepairpros.com,Allen,TX,home,businesswire.com,92.0,4,airtron.com,no
allenacrepairpros.com,Allen,TX,home,lovable.app,91.0,8,bakerbrothersplumbing.com,no
allenacrepairpros.com,Allen,TX,home,embedgooglemap.net,91.0,8,bakerbrothersplumbing.com,no
allenacrepairpros.com,Allen,TX,home,cityfos.com,71.0,10,bakerbrothersplumbing.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,nbcnews.com,91.0,6,reliableair.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,livejournal.com,90.0,7,rotorooter.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,rice.edu,86.0,3,reliableair.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,iicrc.org,83.0,1,rotorooter.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,citysearch.com,80.0,9,reliableair.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,dbpedia.org,79.0,2,rotorooter.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,achrnews.com,78.0,2,reliableair.com,yes
atlantaemergencyplumberpros.com,Atlanta,GA,home,worldmetrics.org,78.0,10,rotorooter.com,yes
