market,our_domain,niche,city,vol,cpc,local_in_top5,winner_pages_median,winner_pages_min,winner_words_median,weakest_competitor
water damage restoration austin,waterdamageaustinco.com,home services,Austin,200,55.0,1,0,0,3,lightspeedrestoration.com
garage door repair ann arbor,annarborgaragedoorrepairpros.com,home services,Ann Arbor,150,40.0,1,12,12,594,annarbordoor.com
moving services raleigh,raleighmovingcompanypros.com,home services,Raleigh,450,13.0,2,19,19,1090,dogwoodmoving.com
bathroom remodeling bellevue,bellevuebathroomremodeling.com,home services,Bellevue,500,11.0,3,29,18,287,omahabathremodel.com
gutter cleaning charlotte,charlotteguttercleaningpros.com,home services,Charlotte,500,15.0,3,43,40,2546,gleaminggutters.com
appliance repair tampa,appliancerepairtampaco.com,home services,Tampa,700,6.0,3,75,9,475,michaelsons.us
garage door repair mckinney,mckinneygaragedoorrepairpros.com,home services,McKinney,700,30.0,3,86,44,1267,garagedoorsmckinneytexas.com
foundation repair austin,foundationrepairaustinco.com,home services,Austin,200,16.0,4,93,18,978,welevelit.com
garage door repair overland park,overlandparkgaragedoorrepairpros.com,home services,Overland Park,200,40.0,4,110,6,1421,overlandparkgaragedoor.com
car accident lawyer salinas,salinascaraccidentlawyer.com,legal,Salinas,350,30.0,4,111,33,1468,rolmlawyers.com
furnace repair colorado springs,coloradospringsfurnacerepair.com,home services,Colorado Springs,350,40.0,3,113,73,2059,reliablehvachelp.com
garage door repair carrollton,carrolltongaragedoorrepairexperts.com,home services,Carrollton,300,25.0,3,114,6,1267,carrolltongaragedoorrepairs.com
tile roof repair tampa,tampatileroofrepair.com,home services,Tampa,300,30.0,4,128,9,840,billshieldsroofing.com
garage door repair naperville,garagedoorrepairnapervillepros.com,home services,Naperville,300,30.0,4,145,6,481,a1napervillegaragedoor.com
air conditioning installation los angeles,losangelesacinstall.com,home services,Los Angeles,250,20.0,3,147,35,982,circulatingair.com
garage door repair fort worth,fortworthgaragedoorrepairpros.com,home services,Fort Worth,900,30.0,3,148,114,2034,overheadgaragedoorllc.com
dui lawyer san jose,sanjoseduilawyerpros.com,legal,San Jose,500,20.0,4,153,17,2801,sjdefender.com
garage door repair garland,garlandgaragedoorrepairexperts.com,home services,Garland,300,20.0,3,154,121,1434,truesafegaragedoors.com
garage door repair parker,parkergaragedoorrepairexperts.com,home services,Parker,150,40.0,3,157,84,2138,mountainviewgaragedoorrepairs.com
car accident lawyer santa barbara,santabarbaracaraccidentlawyer.com,legal,Santa Barbara,200,45.0,4,167,71,1643,johnbrichardslaw.com
garage door repair scottsdale,scottsdalegaragedoorrepairpros.com,home services,Scottsdale,350,35.0,3,168,106,1227,above-allgaragedoor.com
emergency plumbing san jose,sanjoseemergencyplumberpros.com,home services,San Jose,450,55.0,3,173,29,634,arroyo-plumbing.com
car accident lawyer modesto,modestocaraccidentlawyerpros.com,legal,Modesto,500,40.0,3,192,103,1778,fabbrolawcentralvalley.com
truck accident lawyer birmingham,birminghamtruckaccidentlawyerpros.com,legal,Birmingham,150,85.0,5,193,51,1674,rileyjacksonlaw.com
emergency plumbing atlanta,atlantaemergencyplumberpros.com,home services,Atlanta,350,35.0,3,207,134,978,callallgood.com
