batch,domain,city,niche,monthly value,listing,where,status,note
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Google Search Console,search.google.com/search-console,todo,not a link -- how we see indexing
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Bing Webmaster Tools,bing.com/webmasters,todo,import from Search Console in one click
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Yelp,biz.yelp.com,todo,"real call volume; claim only, never solicit reviews"
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Nextdoor Business,business.nextdoor.com,todo,genuinely local
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Apple Business Connect,businessconnect.apple.com,todo,feeds Apple Maps and Siri
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Better Business Bureau,bbb.org,todo,free listing; skip paid accreditation
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Yellow Pages,yellowpages.com,todo,free tier
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Justia,lawyers.justia.com,hold until a firm signs,strong followed link
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Avvo,avvo.com/claim-your-profile,hold until a firm signs,free claim
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,FindLaw,lawyers.findlaw.com,hold until a firm signs,free basic tier
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,Lawyers.com,lawyers.com,hold until a firm signs,free basic tier
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,HG.org,hg.org,hold until a firm signs,free basic tier
1,houstonmotorcycleaccidentlawyerpros.com,Houston,legal,3000,State bar directory,varies by state,hold until a firm signs,best local legal link there is
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Google Search Console,search.google.com/search-console,todo,not a link -- how we see indexing
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Bing Webmaster Tools,bing.com/webmasters,todo,import from Search Console in one click
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Yelp,biz.yelp.com,todo,"real call volume; claim only, never solicit reviews"
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Nextdoor Business,business.nextdoor.com,todo,genuinely local
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Apple Business Connect,businessconnect.apple.com,todo,feeds Apple Maps and Siri
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Better Business Bureau,bbb.org,todo,free listing; skip paid accreditation
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Yellow Pages,yellowpages.com,todo,free tier
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Houzz,houzz.com/pro,todo,"followed link, free pro profile"
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Angi,angi.com/companylist,todo,expect sales calls
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Thumbtack,thumbtack.com/pro,todo,free to list
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Porch,porch.com/pro,todo,contractor directory
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,BuildZoom,buildzoom.com,todo,free claim
1,fortworthgaragedoorrepairpros.com,Fort Worth,home services,2500,Networx,networx.com/contractor,todo,contractor directory
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Google Search Console,search.google.com/search-console,todo,not a link -- how we see indexing
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Bing Webmaster Tools,bing.com/webmasters,todo,import from Search Console in one click
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Yelp,biz.yelp.com,todo,"real call volume; claim only, never solicit reviews"
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Nextdoor Business,business.nextdoor.com,todo,genuinely local
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Apple Business Connect,businessconnect.apple.com,todo,feeds Apple Maps and Siri
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Better Business Bureau,bbb.org,todo,free listing; skip paid accreditation
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Yellow Pages,yellowpages.com,todo,free tier
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Justia,lawyers.justia.com,hold until a firm signs,strong followed link
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Avvo,avvo.com/claim-your-profile,hold until a firm signs,free claim
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,FindLaw,lawyers.findlaw.com,hold until a firm signs,free basic tier
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,Lawyers.com,lawyers.com,hold until a firm signs,free basic tier
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,HG.org,hg.org,hold until a firm signs,free basic tier
1,sandiegodogbitelawyerpros.com,San Diego,legal,2000,State bar directory,varies by state,hold until a firm signs,best local legal link there is
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Google Search Console,search.google.com/search-console,todo,not a link -- how we see indexing
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Bing Webmaster Tools,bing.com/webmasters,todo,import from Search Console in one click
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Yelp,biz.yelp.com,todo,"real call volume; claim only, never solicit reviews"
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Nextdoor Business,business.nextdoor.com,todo,genuinely local
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Apple Business Connect,businessconnect.apple.com,todo,feeds Apple Maps and Siri
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Better Business Bureau,bbb.org,todo,free listing; skip paid accreditation
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Yellow Pages,yellowpages.com,todo,free tier
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Justia,lawyers.justia.com,hold until a firm signs,strong followed link
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Avvo,avvo.com/claim-your-profile,hold until a firm signs,free claim
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,FindLaw,lawyers.findlaw.com,hold until a firm signs,free basic tier
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,Lawyers.com,lawyers.com,hold until a firm signs,free basic tier
1,virginiabeachcaraccidentlawyerpros.com,Virginia Beach,legal,2000,HG.org,hg.org,hold until a firm signs,free basic tier
