domain,niche,city,state,pop,vol,cpc,lead_value,top5_pages_med,top5_pages_min,top10_pages_med,winner_words_med,local_in_top10,directories_in_top10,winners_measured,score,query,alt
pensacoladumpsterrentalpros.com,dumpster rental,Pensacola,FL,52703,880,9.27,8158,9,2,17,443,4,6,4,100,dumpster rental pensacola,pensacoladumpsterrentalco.com | dumpsterrentalofpensacola.com
hagerstowndumpsterrentalpros.com,dumpster rental,Hagerstown,MD,40612,480,8.87,4258,23,2,27,777,5,5,5,100,dumpster rental hagerstown,hagerstowndumpsterrentalco.com | dumpsterrentalofhagerstown.com
dryerventcleaningsarasota.com,dryer vent cleaning,Sarasota,FL,53326,210,21.36,4486,20.5,6,10,579,5,5,5,100,dryer vent cleaning sarasota,sarasotadryerventcleaningpros.com | sarasotadryerventcleaningco.com
dryerventcleaningocala.com,dryer vent cleaning,Ocala,FL,57468,140,37.8,5292,10.0,8,12,810,5,5,3,100,dryer vent cleaning ocala,ocaladryerventcleaningpros.com | ocaladryerventcleaningco.com
ashevilledumpsterrentalpros.com,dumpster rental,Asheville,NC,87236,720,9.69,6977,18,7,98,326,5,5,4,95,dumpster rental asheville,ashevilledumpsterrentalco.com | dumpsterrentalofasheville.com
georgetowndumpsterrentalpros.com,dumpster rental,Georgetown,TX,54898,260,16.39,4261,17,17,132,734,4,6,3,95,dumpster rental georgetown,georgetowndumpsterrentalco.com | dumpsterrentalofgeorgetown.com
homesteadroofcleaning.com,roof cleaning,Homestead,FL,64079,90,49.44,4450,18,6,39,1741,5,5,4,95,roof cleaning homestead,roofcleaninghomestead.com | homesteadroofcleaningpros.com
grandjunctionwindowtinting.com,window tinting,Grand Junction,CO,59778,480,7.99,3835,14.5,2,27,506,8,2,3,94,window tinting grand junction,windowtintinggrandjunction.com | grandjunctionwindowtintingpros.com
spartanburglandclearingpros.com,land clearing,Spartanburg,SC,37647,210,39.25,8242,22,10,22,1326,8,2,3,94,land clearing spartanburg,spartanburglandclearingco.com | landclearingofspartanburg.com
dumpsterrentalgulfport.com,dumpster rental,Gulfport,MS,71012,480,11.12,5338,12.0,1,23,777,6,4,3,93,dumpster rental gulfport,gulfportdumpsterrentalpros.com | gulfportdumpsterrentalco.com
wintergardendryerventcleaning.com,dryer vent cleaning,Winter Garden,FL,37711,170,39.4,6698,18,17,18,1205,6,4,3,93,dryer vent cleaning winter garden,dryerventcleaningwintergarden.com | wintergardendryerventcleaningpros.com
bradentondryerventcleaningpros.com,dryer vent cleaning,Bradenton,FL,51763,110,19.4,2134,10,6,8,420,6,4,4,92.2,dryer vent cleaning bradenton,bradentondryerventcleaningco.com
bradentonairductcleaningpros.com,air duct cleaning,Bradenton,FL,51763,110,38.61,4247,27.0,8,46,642,6,4,3,91,air duct cleaning bradenton,bradentonairductcleaningco.com | airductcleaningofbradenton.com
appletonairductcleaningpros.com,air duct cleaning,Appleton,WI,73596,170,22.57,3837,24.5,6,36,850,7,3,6,91,air duct cleaning appleton,appletonairductcleaningco.com | airductcleaningofappleton.com
chimneysweepsantabarbara.com,chimney sweep,Santa Barbara,CA,90412,140,29.52,4133,22.5,3,26,656,7,3,4,91,chimney sweep santa barbara,santabarbarachimneysweeppros.com | santabarbarachimneysweepco.com
wellingtondumpsterrentalpros.com,dumpster rental,Wellington,FL,60202,170,28.41,4830,9,6,9,1046,7,3,3,91,dumpster rental wellington,wellingtondumpsterrentalco.com | dumpsterrentalofwellington.com
windowtintingbradenton.com,window tinting,Bradenton,FL,51763,480,11.75,5640,14.5,11,14,936,7,3,4,91,window tinting bradenton,bradentonwindowtintingpros.com | bradentonwindowtintingco.com
windowtintinglongview.com,window tinting,Longview,TX,81443,390,7.97,3108,10,1,10,290,7,3,4,91,window tinting longview,longviewwindowtintingpros.com | longviewwindowtintingco.com
ashevilleairductcleaning.com,air duct cleaning,Asheville,NC,87236,140,26.36,3690,24,9,50,814,7,3,6,91,air duct cleaning asheville,ashevilleairductcleaningpros.com | ashevilleairductcleaningco.com
bradentontowingpros.com,towing service,Bradenton,FL,51763,170,11.29,1919,9.0,5,8,760,6,4,3,90.8,towing service bradenton,bradentontowingco.com | towingofbradenton.com
fortmyersroofcleaningpros.com,roof cleaning,Fort Myers,FL,68190,170,21.43,3643,25,25,29,661,5,5,3,90,roof cleaning fort myers,fortmyersroofcleaningco.com | roofcleaningoffortmyers.com
panamacitywindowtinting.com,window tinting,Panama City,FL,36877,390,5.07,1977,10,5,10,483,7,3,4,89.2,window tinting panama city,windowtintingpanamacity.com | panamacitywindowtintingpros.com
pensacolawindowtintingpros.com,window tinting,Pensacola,FL,52703,880,6.97,6134,43,7,52,952,7,3,4,89,window tinting pensacola,pensacolawindowtintingco.com | windowtintingofpensacola.com
littletonjunkremovalpros.com,junk removal,Littleton,CO,44275,260,33.79,8785,29,25,789,1121,5,5,5,88,junk removal littleton,littletonjunkremovalco.com | junkremovaloflittleton.com
beavertonroofcleaningpros.com,roof cleaning,Beaverton,OR,93542,90,49.28,4435,25,14,25,630,6,4,3,88,roof cleaning beaverton,beavertonroofcleaningco.com | roofcleaningofbeaverton.com
bradentonjunkremovalpros.com,junk removal,Bradenton,FL,51763,480,15.84,7603,26,21,26,819,4,6,3,88,junk removal bradenton,bradentonjunkremovalco.com | junkremovalofbradenton.com
biloxidumpsterrental.com,dumpster rental,Biloxi,MS,44820,390,11.67,4551,27.0,23,30,952,5,5,3,88,dumpster rental biloxi,biloxidumpsterrentalpros.com | biloxidumpsterrentalco.com
olympiaroofcleaningpros.com,roof cleaning,Olympia,WA,48338,140,15.71,2199,23.5,23,24,768,6,4,3,87.7,roof cleaning olympia,olympiaroofcleaningco.com | roofcleaningofolympia.com
windowtintingdaytonabeach.com,window tinting,Daytona Beach,FL,62316,320,6.54,2093,15.5,6,25,486,6,4,3,87.0,window tinting daytona beach,daytonabeachwindowtintingpros.com | daytonabeachwindowtintingco.com
mantecawindowtinting.com,window tinting,Manteca,CA,71948,320,6.25,2000,17,7,17,348,6,4,3,86.3,window tinting manteca,windowtintingmanteca.com | mantecawindowtintingpros.com
towingpensacola.com,towing service,Pensacola,FL,52703,320,12.29,3933,10.0,7,10,819,7,3,2,86,towing service pensacola,pensacolatowingpros.com | pensacolatowingco.com
spartanburgdumpsterrentalpros.com,dumpster rental,Spartanburg,SC,37647,480,12.5,6000,46,24,89,1246,6,4,4,86,dumpster rental spartanburg,spartanburgdumpsterrentalco.com | dumpsterrentalofspartanburg.com
bradentondumpsterrentalpros.com,dumpster rental,Bradenton,FL,51763,480,15.01,7205,39,21,30,1021,7,3,4,84,dumpster rental bradenton,bradentondumpsterrentalco.com | dumpsterrentalofbradenton.com
fortmyerspressurewashingco.com,pressure washing,Fort Myers,FL,68190,590,9.04,5334,39,5,60,1193,7,3,5,84,pressure washing fort myers,pressurewashingoffortmyers.com
pressurewashingmountpleasant.com,pressure washing,Mount Pleasant,SC,74885,210,27.69,5815,44,2,36,914,7,3,4,84,pressure washing mount pleasant,mountpleasantpressurewashingpros.com | mountpleasantpressurewashingco.com
mariettajunkremovalpros.com,junk removal,Marietta,GA,59089,720,18.47,13298,49,49,49,606,4,6,3,83,junk removal marietta,mariettajunkremovalco.com | junkremovalofmarietta.com
rapidcitywindowtinting.com,window tinting,Rapid City,SD,70812,480,5.56,2669,6.5,4,6,692,5,5,2,82.8,window tinting rapid city,windowtintingrapidcity.com | rapidcitywindowtintingpros.com
ashevillesepticpumping.com,septic tank pumping,Asheville,NC,87236,70,30.08,2106,21,12,16,522,6,4,4,82.0,septic tank pumping asheville,septicpumpingasheville.com | ashevillesepticpumpingpros.com
pressurewashingdaytonabeach.com,pressure washing,Daytona Beach,FL,62316,210,11.32,2377,40,2,40,626,6,4,3,81.8,pressure washing daytona beach,daytonabeachpressurewashingpros.com | daytonabeachpressurewashingco.com
greeleywindowtinting.com,window tinting,Greeley,CO,96539,320,8.04,2573,31.5,3,56,733,7,3,5,81.2,window tinting greeley,windowtintinggreeley.com | greeleywindowtintingpros.com
pressurewashingmarietta.com,pressure washing,Marietta,GA,59089,170,15.11,2569,48,12,57,509,7,3,6,81.1,pressure washing marietta,mariettapressurewashingpros.com | mariettapressurewashingco.com
dryerventcleaningmarietta.com,dryer vent cleaning,Marietta,GA,59089,170,20.56,3495,34,28,287,873,6,4,4,81,dryer vent cleaning marietta,mariettadryerventcleaningpros.com | mariettadryerventcleaningco.com
apopkapressurewashingpros.com,pressure washing,Apopka,FL,45587,170,20.91,3555,32,32,188,1052,6,4,4,81,pressure washing apopka,apopkapressurewashingco.com | pressurewashingofapopka.com
mariettadentrepair.com,paintless dent repair,Marietta,GA,59089,390,9.36,3650,77,8,52,757,6,4,4,81,paintless dent repair marietta,dentrepairmarietta.com | mariettadentrepairpros.com
pressurewashinghiltonheadisland.com,pressure washing,Hilton Head Island,SC,39412,90,27.36,2462,43,23,33,606,7,3,4,80.4,pressure washing hilton head island,hiltonheadislandpressurewashingpros.com | hiltonheadislandpressurewashingco.com
