niche,city,state,pop,vol,cpc,lead_value,query,name_conflict,local_in_top10,directories_in_top10,top5_pages_med,top5_pages_min,top10_pages_med,top10_pages_min,winner_words_med,winners_measured,score
dumpster rental,Pensacola,FL,52703,880,9.27,8158,dumpster rental pensacola,clean,4,6,9,2,17,2,443,4,100
dumpster rental,Hagerstown,MD,40612,480,8.87,4258,dumpster rental hagerstown,clean,5,5,23,2,27,2,777,5,100
dryer vent cleaning,Sarasota,FL,53326,210,21.36,4486,dryer vent cleaning sarasota,clean,5,5,20.5,6,10,6,579,5,100
dryer vent cleaning,Ocala,FL,57468,140,37.8,5292,dryer vent cleaning ocala,clean,5,5,10.0,8,12,8,810,3,100
dumpster rental,Asheville,NC,87236,720,9.69,6977,dumpster rental asheville,clean,5,5,18,7,98,7,326,4,95
dumpster rental,Georgetown,TX,54898,260,16.39,4261,dumpster rental georgetown,clean,4,6,17,17,132,17,734,3,95
roof cleaning,Homestead,FL,64079,90,49.44,4450,roof cleaning homestead,clean,5,5,18,6,39,6,1741,4,95
window tinting,Grand Junction,CO,59778,480,7.99,3835,window tinting grand junction,clean,8,2,14.5,2,27,2,506,3,94
land clearing,Spartanburg,SC,37647,210,39.25,8242,land clearing spartanburg,clean,8,2,22,10,22,10,1326,3,94
dumpster rental,Gulfport,MS,71012,480,11.12,5338,dumpster rental gulfport,clean,6,4,12.0,1,23,1,777,3,93
dryer vent cleaning,Winter Garden,FL,37711,170,39.4,6698,dryer vent cleaning winter garden,clean,6,4,18,17,18,17,1205,3,93
dryer vent cleaning,Bradenton,FL,51763,110,19.4,2134,dryer vent cleaning bradenton,clean,6,4,10,6,8,6,420,4,92.2
air duct cleaning,Bradenton,FL,51763,110,38.61,4247,air duct cleaning bradenton,clean,6,4,27.0,8,46,8,642,3,91
air duct cleaning,Appleton,WI,73596,170,22.57,3837,air duct cleaning appleton,clean,7,3,24.5,6,36,6,850,6,91
chimney sweep,Santa Barbara,CA,90412,140,29.52,4133,chimney sweep santa barbara,clean,7,3,22.5,3,26,3,656,4,91
dumpster rental,Wellington,FL,60202,170,28.41,4830,dumpster rental wellington,clean,7,3,9,6,9,6,1046,3,91
window tinting,Bradenton,FL,51763,480,11.75,5640,window tinting bradenton,clean,7,3,14.5,11,14,7,936,4,91
window tinting,Longview,TX,81443,390,7.97,3108,window tinting longview,clean,7,3,10,1,10,1,290,4,91
air duct cleaning,Asheville,NC,87236,140,26.36,3690,air duct cleaning asheville,clean,7,3,24,9,50,9,814,6,91
towing service,Bradenton,FL,51763,170,11.29,1919,towing service bradenton,clean,6,4,9.0,5,8,5,760,3,90.8
roof cleaning,Fort Myers,FL,68190,170,21.43,3643,roof cleaning fort myers,clean,5,5,25,25,29,25,661,3,90
window tinting,Panama City,FL,36877,390,5.07,1977,window tinting panama city,clean,7,3,10,5,10,5,483,4,89.2
window tinting,Pensacola,FL,52703,880,6.97,6134,window tinting pensacola,clean,7,3,43,7,52,7,952,4,89
junk removal,Littleton,CO,44275,260,33.79,8785,junk removal littleton,clean,5,5,29,25,789,25,1121,5,88
roof cleaning,Beaverton,OR,93542,90,49.28,4435,roof cleaning beaverton,clean,6,4,25,14,25,14,630,3,88
junk removal,Bradenton,FL,51763,480,15.84,7603,junk removal bradenton,clean,4,6,26,21,26,21,819,3,88
dumpster rental,Biloxi,MS,44820,390,11.67,4551,dumpster rental biloxi,clean,5,5,27.0,23,30,23,952,3,88
roof cleaning,Olympia,WA,48338,140,15.71,2199,roof cleaning olympia,clean,6,4,23.5,23,24,23,768,3,87.7
window tinting,Greenville,NC,89130,590,5.96,3516,window tinting greenville,same name elsewhere,5,5,18,10,14,10,766,4,87
window tinting,Daytona Beach,FL,62316,320,6.54,2093,window tinting daytona beach,clean,6,4,15.5,6,25,6,486,3,87.0
window tinting,Manteca,CA,71948,320,6.25,2000,window tinting manteca,clean,6,4,17,7,17,7,348,3,86.3
towing service,Pensacola,FL,52703,320,12.29,3933,towing service pensacola,clean,7,3,10.0,7,10,7,819,2,86
dumpster rental,Spartanburg,SC,37647,480,12.5,6000,dumpster rental spartanburg,clean,6,4,46,24,89,24,1246,4,86
pressure washing,Greenville,NC,89130,880,12.11,10657,pressure washing greenville,same name elsewhere,6,4,22.0,8,14,6,841,5,85
dumpster rental,Bradenton,FL,51763,480,15.01,7205,dumpster rental bradenton,clean,7,3,39,21,30,7,1021,4,84
pressure washing,Fort Myers,FL,68190,590,9.04,5334,pressure washing fort myers,clean,7,3,39,5,60,5,1193,5,84
pressure washing,Mount Pleasant,SC,74885,210,27.69,5815,pressure washing mount pleasant,clean,7,3,44,2,36,2,914,4,84
junk removal,Marietta,GA,59089,720,18.47,13298,junk removal marietta,clean,4,6,49,49,49,7,606,3,83
window tinting,Rapid City,SD,70812,480,5.56,2669,window tinting rapid city,clean,5,5,6.5,4,6,4,692,2,82.8
septic tank pumping,Asheville,NC,87236,70,30.08,2106,septic tank pumping asheville,clean,6,4,21,12,16,8,522,4,82.0
septic tank pumping,Greenville,NC,89130,90,80.45,7240,septic tank pumping greenville,same name elsewhere,5,5,23,15,19,9,400,4,82
pressure washing,Daytona Beach,FL,62316,210,11.32,2377,pressure washing daytona beach,clean,6,4,40,2,40,2,626,3,81.8
window tinting,Greeley,CO,96539,320,8.04,2573,window tinting greeley,clean,7,3,31.5,3,56,3,733,5,81.2
pressure washing,Marietta,GA,59089,170,15.11,2569,pressure washing marietta,clean,7,3,48,12,57,12,509,6,81.1
dryer vent cleaning,Marietta,GA,59089,170,20.56,3495,dryer vent cleaning marietta,clean,6,4,34,28,287,28,873,4,81
pressure washing,Apopka,FL,45587,170,20.91,3555,pressure washing apopka,clean,6,4,32,32,188,29,1052,4,81
paintless dent repair,Marietta,GA,59089,390,9.36,3650,paintless dent repair marietta,clean,6,4,77,8,52,8,757,4,81
pressure washing,Hilton Head Island,SC,39412,90,27.36,2462,pressure washing hilton head island,clean,7,3,43,23,33,7,606,4,80.4
paintless dent repair,Rockwall,TX,40922,140,15.48,2167,paintless dent repair rockwall,clean,6,4,32,12,57,12,1199,4,80.4
crawl space encapsulation,Greenville,NC,89130,90,39.5,3555,crawl space encapsulation greenville,same name elsewhere,6,4,13,13,13,11,1127,3,80
pressure washing,Ocala,FL,57468,320,6.44,2061,pressure washing ocala,clean,7,3,16.0,9,16,9,824,2,79.7
pressure washing,Bradenton,FL,51763,320,6.17,1974,pressure washing bradenton,clean,7,3,1,1,1,1,,1,79.2
window tinting,Summerville,SC,46074,880,5.98,5262,window tinting summerville,clean,7,3,62,2,1183,2,829,4,79
septic tank pumping,Hesperia,CA,92147,110,101.86,11205,septic tank pumping hesperia,clean,7,3,29,16,44,16,1710,4,79
pressure washing,Pensacola,FL,52703,590,7.44,4390,pressure washing pensacola,clean,7,3,39.5,33,42,33,992,5,79
dryer vent cleaning,Littleton,CO,44275,70,41.54,2908,dryer vent cleaning littleton,clean,7,3,99,1,137,1,989,4,78.4
chimney sweep,Manassas,VA,41705,90,20.45,1840,chimney sweep manassas,clean,7,3,3.0,1,3,1,815,2,78.3
junk removal,Kissimmee,FL,65173,260,26.67,6934,junk removal kissimmee,clean,5,5,28,28,28,2,891,3,78
junk removal,Kirkland,WA,84430,480,22.93,11006,junk removal kirkland,clean,5,5,91.0,8,102,8,1555,4,78
junk removal,Castle Rock,CO,53063,210,30.29,6361,junk removal castle rock,clean,5,5,62,25,62,25,708,3,78
land clearing,Conroe,TX,63032,140,18.12,2537,land clearing conroe,clean,6,4,47.0,12,47,12,1690,4,77.9
dryer vent cleaning,Greenville,NC,89130,110,16.7,1837,dryer vent cleaning greenville,same name elsewhere,6,4,12,10,33,10,644,5,77.2
roof cleaning,Bellingham,WA,82631,170,24.01,4082,roof cleaning bellingham,clean,6,4,49,40,49,12,1220,5,76
air duct cleaning,Kissimmee,FL,65173,260,39.82,10353,air duct cleaning kissimmee,clean,6,4,56,5,36,5,836,4,76
septic tank pumping,Hendersonville,TN,54068,90,24.47,2202,septic tank pumping hendersonville,clean,6,4,29.0,26,32,26,638,3,75.7
dumpster rental,Conroe,TX,63032,480,12.77,6130,dumpster rental conroe,clean,7,3,63,4,167,4,816,4,74
dumpster rental,Macon,GA,89981,590,8.61,5080,dumpster rental macon,clean,7,3,66,7,66,7,616,4,74
air duct cleaning,Apex,NC,42214,720,15.39,11081,air duct cleaning apex,clean,7,3,83.0,11,148,11,725,6,74
window tinting,Fort Smith,AR,87650,320,5.12,1638,window tinting fort smith,clean,4,6,31.0,21,41,21,790,3,73.9
